ID,Titulo,PS4,PS5,Tipo,Consola,URL,Venta
874,Overcooked! + Overcooked! 2,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/img/cfn/11307qfloPmpI8WsxGaDJX00ygDP-kP3o9I_RFK2iSaUAF3Q8zEL-9k9tgMCZbhiNSjSDNUrA3979J55HkTijrsT0CEwtn9Y.png?w=1024&,
874,Overcooked! + Overcooked! 2,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/img/cfn/11307qfloPmpI8WsxGaDJX00ygDP-kP3o9I_RFK2iSaUAF3Q8zEL-9k9tgMCZbhiNSjSDNUrA3979J55HkTijrsT0CEwtn9Y.png?w=1024&,
874,Overcooked! + Overcooked! 2,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/img/cfn/11307qfloPmpI8WsxGaDJX00ygDP-kP3o9I_RFK2iSaUAF3Q8zEL-9k9tgMCZbhiNSjSDNUrA3979J55HkTijrsT0CEwtn9Y.png?w=1024&,
875,Overcooked! 2,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP4064/CUSA10940_00/r0sQ8zaOheA7nh6k6pxzYMT41CnR42rF.png?w=1024&,
875,Overcooked! 2,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP4064/CUSA10940_00/r0sQ8zaOheA7nh6k6pxzYMT41CnR42rF.png?w=1024&,
875,Overcooked! 2,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP4064/CUSA10940_00/r0sQ8zaOheA7nh6k6pxzYMT41CnR42rF.png?w=1024&,
879,PAYDAY 2: CRIMEWAVE EDITION,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202409/1918/b60749d24089932103168859d0c96c79db75383c55e4de18.png?w=1024&,
879,PAYDAY 2: CRIMEWAVE EDITION,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202409/1918/b60749d24089932103168859d0c96c79db75383c55e4de18.png?w=1024&,
879,PAYDAY 2: CRIMEWAVE EDITION,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202409/1918/b60749d24089932103168859d0c96c79db75383c55e4de18.png?w=1024&,
893,Plants vs. Zombies: Battle for Neighborville,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/img/rnd/202008/3107/m04V1Wbq0ag6IAp3UozdjSCh.png?w=1024&,
893,Plants vs. Zombies: Battle for Neighborville,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/img/rnd/202008/3107/m04V1Wbq0ag6IAp3UozdjSCh.png?w=1024&,
893,Plants vs. Zombies: Battle for Neighborville,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/img/rnd/202008/3107/m04V1Wbq0ag6IAp3UozdjSCh.png?w=1024&,
896,Plants vs. Zombies Garden Warfare 2: Deluxe Edition,show,hide,Primaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA01975_00/8CyrHzRlnhSiKhNThSS98tinxsLGeaDi.png?w=1024&,
896,Plants vs. Zombies Garden Warfare 2: Deluxe Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP0006/CUSA01975_00/8CyrHzRlnhSiKhNThSS98tinxsLGeaDi.png?w=1024&,
896,Plants vs. Zombies Garden Warfare 2: Deluxe Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP0006/CUSA01975_00/8CyrHzRlnhSiKhNThSS98tinxsLGeaDi.png?w=1024&,
897,Poppy Playtime: Chapter 1,show,hide,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202310/2416/f4c095be7b000a29b298dda4b8a1c28f472466b25f44f1f7.png?w=1024&,
