ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
859,Need for Speed Deluxe Edition,"7,00$",,,,https://image.api.playstation.com/cdn/UP0006/CUSA01925_00/RxeNb9Ph1y2VhBGv5Ct0tuY6f5xC4t9f.png?w=1024&
860,Need for Speed Heat,"6,00$","5,00$",,NULL,https://image.api.playstation.com/vulcan/ap/rnd/202210/3121/Xz6kd2CORZxe8JnfNJwvA35A.png?w=1024&
869,Outer Wilds,"22,00$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202208/1623/Zofebh60Ue7Zt5sC10UAtU3D.png?w=1024&
874,Overcooked! + Overcooked! 2,"9,00$",,,,https://image.api.playstation.com/vulcan/img/cfn/11307qfloPmpI8WsxGaDJX00ygDP-kP3o9I_RFK2iSaUAF3Q8zEL-9k9tgMCZbhiNSjSDNUrA3979J55HkTijrsT0CEwtn9Y.png?w=1024&
879,PAYDAY 2: CRIMEWAVE EDITION,"17,00$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202409/1918/b60749d24089932103168859d0c96c79db75383c55e4de18.png?w=1024&
893,Plants vs. Zombies: Battle for Neighborville,11,,,,https://image.api.playstation.com/vulcan/img/rnd/202008/3107/m04V1Wbq0ag6IAp3UozdjSCh.png?w=1024&
896,Plants vs. Zombies Garden Warfare 2: Deluxe Edition,11,,,,https://image.api.playstation.com/cdn/UP0006/CUSA01975_00/8CyrHzRlnhSiKhNThSS98tinxsLGeaDi.png?w=1024&
1159,Pro Flight Simulator,,,"21,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202410/2401/6d79e4ac57d23ed1e741924ded60b4df983d7bf41db057a9.png?w=1024&
903,Ratchet & Clank: Rift Apart,ND,ND,"27,5",,https://image.api.playstation.com/vulcan/ap/rnd/202101/2921/DwVjpbKOsFOyPdNzmSTSWuxG.png?w=1024&
903,Ratchet & Clank: Rift Apart,ND,ND,15,,https://image.api.playstation.com/vulcan/ap/rnd/202101/2921/DwVjpbKOsFOyPdNzmSTSWuxG.png?w=1024&
913,Red Dead Redemption 2: Ultimate Edition,13,,15,,https://image.api.playstation.com/cdn/UP1004/CUSA03041_00/3zDubiWo2X5WU18FGiwlsf4lKWb8MwkE.png?w=1024&
1076,Resident Evil 4 Gold Edition PS4 & PS5,"14,00$",,"12,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202401/2906/78161bc117f3d712bca47348db7a8be7e4ac6c4a2b98d88a.png?w=1024&
